Job_name,Job_description,Posting_date,Experience,Location,Company_name,Job_application_link,Type
We are proud of our diverse culture,"The Texplorers team celebrates diversity in every form, whether it’s abilities and disabilities, age, citizenship, veteran status, national origin, ethnicity, gender, race, religion, sexual orientation, or socioeconomic background.Hiring people with diverse backgroundsand experience helps us to create better products, serve our customers professionally, and bring the world closer together and deliver on our mission.With great honor we announce that Texplorers is an equal opportunity workplace and an affirmative action employer. We are committed to provide equal employment opportunity regardless of religion, national origin, citizenship, marital status, sexual orientation, age, race, color, ancestry, disability, gender identity or Veteran status.",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
8 Hours of Working,Flexible Working Hours,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Flexible Working Hours,Weekly Offs,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Weekly Offs,Earned Leaves,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Earned Leaves,Seminars and workshops Festive celebrations Periodical tours Telecommuting options,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Seminars and workshops,Festive celebrations,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Festive celebrations,Periodical tours,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Periodical tours,Telecommuting options,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Senior Java Developer,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Senior BI Engineer,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Senior AI Engineer,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Senior Software Engineer,,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Solutions Architect,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Solutions Development Lead,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Cloud Data Engineer,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Python REST API Developer,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
DevOps Engineer – Data Solutions,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Data Engineer,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Project Manager,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Data Engineer,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Fast growing company,"Join a company that is expanding rapidly, providing ample opportunities for career growth and advancement. Be a part of a team that is constantly evolving and pushing boundaries in their industry.",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Great colleagues,Work alongside a team of highly motivated and talented individuals who share your passion for excellence. Build strong relationships with supportive and collaborative colleagues who are dedicated to achieving common goals.,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Take charge,"Take ownership of your work and make a significant impact on the company's success. Be empowered to take charge and make decisions that drive the company forward, while receiving support and guidance from leadership.",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Don't stop learning,"Continuous learning is essential in today's rapidly evolving business landscape. Join a company that encourages and supports your personal and professional growth, providing access to training, mentorship, and development programs.",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Latest technology stack,"Work with the latest and greatest technology, keeping you at the forefront of your field. Utilize cutting-edge tools and resources to deliver innovative solutions and stay ahead of the competition.",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Cross domain exposure,"Gain exposure to multiple domains and industries, broadening your skillset and knowledge base. Work on diverse projects that challenge you to think creatively and expand your expertise in new areas.",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Quick links,About Us Advisory Engineering Digital Analytics Careers Privacy policy,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
Industries,Public Sector Financial Services Retail Sector,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers/,onsite
We are proud of our diverse culture,"The Texplorers team celebrates diversity in every form, whether it’s abilities and disabilities, age, citizenship, veteran status, national origin, ethnicity, gender, race, religion, sexual orientation, or socioeconomic background.Hiring people with diverse backgrounds and experience helps us to create better products, serve our customers professionally, and bring the world closer together and deliver on our mission.",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
